symbol,year,z_score,distressed,totalCurrentAssets,totalAssets,retainedEarnings,ebitda,depreciationAndAmortization_income_statement,totalLiabilities,marketcap,revenue
BEKN.SW,2022,0.33,0,9335059000.0,39757263000.0,160299000.0,0,64795000.0,36990980000.0,2220000000.0,531303000
BEKN.SW,2021,0.37,0,10309081000.0,38993620000.0,155427000.0,0,46557000.0,36288024000.0,2040000000.0,497220000
BEKN.SW,2020,0.37,0,8938984000.0,36421744000.0,148507000.0,243611000,72234000.0,33777813000.0,2380000000.0,494061000
BKW.SW,2023,2.42,0,2780100000.0,11011600000.0,4675200000.0,886700000,279900000.0,5964600000.0,9370000000.0,4432700000
BKW.SW,2022,2.12,0,3894600000.0,11967400000.0,4401900000.0,1062600000,271300000.0,7587800000.0,7210000000.0,5064500000
BKW.SW,2021,1.8,0,4354500000.0,12141800000.0,3987000000.0,666200000,247200000.0,7915500000.0,6840000000.0,3380000000
BKW.SW,2020,1.94,0,2191500000.0,9535400000.0,3810100000.0,685800000,243000000.0,5546000000.0,5930000000.0,2935700000
BOSN.SW,2024,5.06,0,605905000.0,843958000.0,269306000.0,130377000,26257000.0,451621000.0,1640000000.0,986431000
BOSN.SW,2023,6.05,0,587660000.0,807237000.0,417626000.0,135714000,24995000.0,434551000.0,1940000000.0,1068976000
BOSN.SW,2022,5.08,0,690761000.0,910089000.0,386753000.0,165185000,23718000.0,530466000.0,1590000000.0,1153841000
BOSN.SW,2021,7.23,0,563457000.0,772776000.0,342798000.0,147917000,22334000.0,423228000.0,2760000000.0,995148000
BUCN.SW,2024,5.74,0,1954500000.0,2785300000.0,1890000000.0,385800000,92000000.0,902700000.0,3720000000.0,3155500000
BUCN.SW,2023,5.69,0,2206800000.0,2958400000.0,1797700000.0,522800000,86000000.0,1142500000.0,4290000000.0,3574800000
BUCN.SW,2022,5.48,0,2270000000.0,2978700000.0,1886400000.0,503500000,79700000.0,1276900000.0,4270000000.0,3596800000
BUCN.SW,2021,5.76,0,2074400000.0,2768200000.0,1667400000.0,437700000,84700000.0,1235600000.0,5040000000.0,3176400000
BCHN.SW,2023,4.24,0,857487000.0,1065624000.0,294184000.0,141085000,18920000.0,767715000.0,2030000000.0,981963000
BCHN.SW,2022,4.36,0,735169000.0,940602000.0,287582000.0,116329000,21769000.0,679019000.0,2020000000.0,829701000
BCHN.SW,2021,3.95,0,620800000.0,837798000.0,238890000.0,88958000,20007000.0,594909000.0,1600000000.0,650698000
BCHN.SW,2020,3.71,0,547143000.0,758093000.0,215695000.0,83582000,21108000.0,538490000.0,1170000000.0,658580000
BRKN.SW,2023,5.45,0,404236000.0,469887000.0,-183031000.0,73009000,8270000.0,343864000.0,1170000000.0,1159829000
BRKN.SW,2022,4.28,0,365980000.0,424043000.0,-196986000.0,53818000,5993000.0,289590000.0,840000000.0,757552000
BRKN.SW,2021,5.79,0,203693000.0,232701000.0,70491000.0,32458000,3220000.0,158709000.0,410000000.0,548594000
BRKN.SW,2020,6.07,0,183797000.0,210423000.0,67668000.0,21771000,3314000.0,139138000.0,440000000.0,502803000
BVZN.SW,2023,1.25,0,102905453.0,693042735.0,159700807.0,69016799,30635638.0,457962754.0,210000000.0,201473814
BVZN.SW,2022,1.19,0,85124506.0,564770045.0,112503988.0,51390955,23361961.0,356279137.0,150000000.0,177245157
BVZN.SW,2021,1.15,0,54427591.0,443195975.0,89958665.0,29457001,22598728.0,257636398.0,150000000.0,139162713
BVZN.SW,2020,1.1,0,47936434.0,403344681.0,72381847.0,16446981,22753248.0,221491863.0,170000000.0,120421247
BYS.SW,2023,5.54,0,761600000.0,1024100000.0,839700000.0,81800000,21000000.0,293500000.0,1170000000.0,930100000
BYS.SW,2022,5.0,0,862500000.0,1142500000.0,823900000.0,70700000,21700000.0,418300000.0,1430000000.0,1015900000
BYS.SW,2021,7.06,0,958400000.0,1234800000.0,910700000.0,88600000,18500000.0,419600000.0,2900000000.0,939300000
